
Start NMF for gFN using PyTorch at 2023-09-03 08:34:20

    Iter = 102: LogL: 1120161.840721459, dataFit: 892022.8029084521, spaLap: 35297.12525994804, L21: 192841.91255305882, ardU: 0
    Iter = 103: LogL: 1117820.1208878495, dataFit: 889464.3013445179, spaLap: 35596.42449824921, L21: 192759.3950450822, ardU: 0
    Iter = 104: LogL: 1115344.293008129, dataFit: 886759.1463228778, spaLap: 35914.05261802534, L21: 192671.09406722581, ardU: 0
    Iter = 105: LogL: 1112729.341709386, dataFit: 883902.618942986, spaLap: 36250.00767397109, L21: 192576.715092429, ardU: 0
    Iter = 106: LogL: 1109970.8392876422, dataFit: 880891.2267409819, spaLap: 36603.638309514754, L21: 192475.97423714548, ardU: 0
    Iter = 107: LogL: 1107066.664575841, dataFit: 877721.614472005, spaLap: 36976.44219104163, L21: 192368.60791279437, ardU: 0
    Iter = 108: LogL: 1104014.0205053499, dataFit: 874392.7528936819, spaLap: 37366.86970775036, L21: 192254.3979039176, ardU: 0
    Iter = 109: LogL: 1100812.080570904, dataFit: 870903.8516125169, spaLap: 37775.06166468002, L21: 192133.16729370714, ardU: 0
    Iter = 110: LogL: 1097454.96961944, dataFit: 867255.6307195137, spaLap: 38194.54738373168, L21: 192004.79151619453, ardU: 0
    Iter = 111: LogL: 1093936.336824196, dataFit: 863445.0980042338, spaLap: 38622.11220515521, L21: 191869.12661480703, ardU: 0
    Iter = 112: LogL: 1090274.8843277008, dataFit: 859468.6398096501, spaLap: 39080.20811963313, L21: 191726.03639841746, ardU: 0
    Iter = 113: LogL: 1086471.3254638272, dataFit: 855345.4126448967, spaLap: 39550.13040088393, L21: 191575.78241804655, ardU: 0
    Iter = 114: LogL: 1082548.577869806, dataFit: 851083.6447154589, spaLap: 40046.2510320584, L21: 191418.68212228865, ardU: 0
    Iter = 115: LogL: 1078527.721552184, dataFit: 846707.6344844312, spaLap: 40564.75988237068, L21: 191255.32718538214, ardU: 0
    Iter = 116: LogL: 1074430.3668265643, dataFit: 842241.7614730061, spaLap: 41102.11068678172, L21: 191086.49466677633, ardU: 0
    Iter = 117: LogL: 1070282.354875831, dataFit: 837711.5947461885, spaLap: 41657.6343217918, L21: 190913.1258078506, ardU: 0
    Iter = 118: LogL: 1066100.5028031536, dataFit: 833144.9126310679, spaLap: 42219.276490124794, L21: 190736.31368196086, ardU: 0
    Iter = 119: LogL: 1061912.704260949, dataFit: 828560.933786425, spaLap: 42794.6037277869, L21: 190557.1667467372, ardU: 0
    Iter = 120: LogL: 1057748.0202051455, dataFit: 823986.1535009982, spaLap: 43384.99025447325, L21: 190376.876449674, ardU: 0
    Iter = 121: LogL: 1053637.636194269, dataFit: 819443.4576482298, spaLap: 43997.54980749883, L21: 190196.62873854034, ardU: 0
    Iter = 122: LogL: 1049593.0348030827, dataFit: 814957.0024486579, spaLap: 44618.45712211817, L21: 190017.5752323067, ardU: 0
    Iter = 123: LogL: 1045625.8331139808, dataFit: 810534.487544584, spaLap: 45250.70915794758, L21: 189840.63641144935, ardU: 0
    Iter = 124: LogL: 1041738.2621971703, dataFit: 806181.3497606248, spaLap: 45890.371831155986, L21: 189666.54060538948, ardU: 0
    Iter = 125: LogL: 1037936.3890425635, dataFit: 801894.0813712609, spaLap: 46546.54031637922, L21: 189495.76735492345, ardU: 0
    Iter = 126: LogL: 1034204.1930150674, dataFit: 797670.1083493358, spaLap: 47205.44191020709, L21: 189328.64275552452, ardU: 0
    Iter = 127: LogL: 1030539.69059582, dataFit: 793492.7957182784, spaLap: 47881.72845830457, L21: 189165.16641923698, ardU: 0
    Iter = 128: LogL: 1026937.3402548285, dataFit: 789353.2237091113, spaLap: 48578.837653242466, L21: 189005.27889247463, ardU: 0
