
Start NMF for gFN using NumPy at 2023-08-29 10:32:54

    Iter = 81: LogL: 1142597.8290916502, dataFit: 916705.1316493514, spaLap: 32297.050846423226, L21: 193595.64659587547, ardU: 0
    Iter = 82: LogL: 1141602.6106386173, dataFit: 915608.1524801435, spaLap: 32428.963333740445, L21: 193565.49482473338, ardU: 0
    Iter = 83: LogL: 1140533.768771423, dataFit: 914435.0495975545, spaLap: 32565.635410617062, L21: 193533.08376325146, ardU: 0
    Iter = 84: LogL: 1139388.9939148324, dataFit: 913176.9707623012, spaLap: 32713.795116859947, L21: 193498.2280356711, ardU: 0
    Iter = 85: LogL: 1138163.8879190134, dataFit: 911830.6094931033, spaLap: 32872.52403846814, L21: 193460.75438744214, ardU: 0
    Iter = 86: LogL: 1136856.269233829, dataFit: 910390.575491763, spaLap: 33045.21347721217, L21: 193420.48026485386, ardU: 0
    Iter = 87: LogL: 1135462.3930665646, dataFit: 908854.0575622243, spaLap: 33231.111624729536, L21: 193377.22387961065, ardU: 0
    Iter = 88: LogL: 1133975.5239789544, dataFit: 907216.8846702648, spaLap: 33427.84779093383, L21: 193330.79151775583, ardU: 0
    Iter = 89: LogL: 1132387.7479894399, dataFit: 905472.4333862289, spaLap: 33634.35409362674, L21: 193280.96050958417, ardU: 0
    Iter = 90: LogL: 1130673.5205013363, dataFit: 903613.0412201402, spaLap: 33832.99186151074, L21: 193227.48741968523, ardU: 0
    Iter = 91: LogL: 1128826.2300878174, dataFit: 901616.9974747791, spaLap: 34039.22822726416, L21: 193170.00438577408, ardU: 0
    Iter = 92: LogL: 1126842.5021093627, dataFit: 899474.023338368, spaLap: 34260.29536310094, L21: 193108.18340789384, ardU: 0
    Iter = 93: LogL: 1124725.601898036, dataFit: 897178.5940697843, spaLap: 34505.2827702507, L21: 193041.7250580011, ardU: 0
    Iter = 94: LogL: 1122474.9319916645, dataFit: 894730.3954087691, spaLap: 34774.142117917836, L21: 192970.39446497767, ardU: 0
    Iter = 95: LogL: 1120087.090170041, dataFit: 892129.5771646502, spaLap: 35063.5501195568, L21: 192893.96288583416, ardU: 0
    Iter = 96: LogL: 1117561.040573834, dataFit: 889374.1987635242, spaLap: 35374.64043639586, L21: 192812.20137391408, ardU: 0
    Iter = 97: LogL: 1114884.5872668643, dataFit: 886464.7623497269, spaLap: 35694.91226664549, L21: 192724.91265049175, ardU: 0
    Iter = 98: LogL: 1112058.0850773894, dataFit: 883392.7572358822, spaLap: 36033.47186877206, L21: 192631.8559727351, ardU: 0
    Iter = 99: LogL: 1109085.9593347628, dataFit: 880159.3639304938, spaLap: 36393.72934533928, L21: 192532.8660589297, ardU: 0
    Iter = 100: LogL: 1105971.2533748918, dataFit: 876769.5337240197, spaLap: 36773.867127308375, L21: 192427.8525235638, ardU: 0
    Iter = 101: LogL: 1102716.9383814496, dataFit: 873228.9531790696, spaLap: 37171.21041502646, L21: 192316.7747873537, ardU: 0
    Iter = 102: LogL: 1099319.7932026964, dataFit: 869543.7354771973, spaLap: 37576.41185772619, L21: 192199.64586777275, ardU: 0
    Iter = 103: LogL: 1095796.0637514628, dataFit: 865715.1358757806, spaLap: 38004.43917722753, L21: 192076.48869845475, ardU: 0
    Iter = 104: LogL: 1092149.2069899305, dataFit: 861760.1052798658, spaLap: 38441.618196268835, L21: 191947.48351379597, ardU: 0
    Iter = 105: LogL: 1088394.740111009, dataFit: 857686.1056109213, spaLap: 38895.81153057319, L21: 191812.82296951447, ardU: 0
    Iter = 106: LogL: 1084552.5095566413, dataFit: 853510.7954991655, spaLap: 39368.891840058095, L21: 191672.82221741762, ardU: 0
    Iter = 107: LogL: 1080639.669357885, dataFit: 849255.0343086104, spaLap: 39856.733084130035, L21: 191527.90196514444, ardU: 0
    Iter = 108: LogL: 1076674.464359106, dataFit: 844938.2000687869, spaLap: 40357.7225730325, L21: 191378.54171728654, ardU: 0
    Iter = 109: LogL: 1072651.4235566785, dataFit: 840580.1054273029, spaLap: 40846.040898044645, L21: 191225.27723133093, ardU: 0
    Iter = 110: LogL: 1068595.114257976, dataFit: 836180.422275286, spaLap: 41346.37939639072, L21: 191068.3125862992, ardU: 0
    Iter = 111: LogL: 1064532.8165120943, dataFit: 831759.9000539741, spaLap: 41864.80381333098, L21: 190908.11264478925, ardU: 0
    Iter = 112: LogL: 1060481.115052918, dataFit: 827342.539446307, spaLap: 42393.261977760805, L21: 190745.31362885018, ardU: 0
    Iter = 113: LogL: 1056443.9178417174, dataFit: 822944.8779949642, spaLap: 42918.518558391916, L21: 190580.5212883612, ardU: 0
    Iter = 114: LogL: 1052446.5105996719, dataFit: 818573.7717976404, spaLap: 43458.50547744187, L21: 190414.23332458964, ardU: 0
    Iter = 115: LogL: 1048501.0835518712, dataFit: 814248.6482513124, spaLap: 44005.38267012015, L21: 190247.0526304387, ardU: 0
    Iter = 116: LogL: 1044578.7934839013, dataFit: 809979.9298730089, spaLap: 44519.33750846589, L21: 190079.52610242652, ardU: 0
    Iter = 117: LogL: 1040706.4773684123, dataFit: 805748.3842882981, spaLap: 45046.52139561094, L21: 189911.57168450335, ardU: 0
    Iter = 118: LogL: 1036903.840116028, dataFit: 801568.9633423897, spaLap: 45591.29609754872, L21: 189743.58067608968, ardU: 0
    Iter = 119: LogL: 1033177.4325808882, dataFit: 797456.0565001584, spaLap: 46145.300822547884, L21: 189576.07525818187, ardU: 0
    Iter = 120: LogL: 1029532.0375835641, dataFit: 793416.5412250943, spaLap: 46705.99605754954, L21: 189409.5003009202, ardU: 0
    Iter = 121: LogL: 1025962.5883077448, dataFit: 789454.7549953223, spaLap: 47263.58470532682, L21: 189244.24860709565, ardU: 0
    Iter = 122: LogL: 1022471.5647904681, dataFit: 785567.4031768173, spaLap: 47823.57569612403, L21: 189080.58591752677, ardU: 0
    Iter = 123: LogL: 1019067.2161832418, dataFit: 781754.8709909809, spaLap: 48393.573095537584, L21: 188918.77209672326, ardU: 0
    Iter = 124: LogL: 1015749.2651026507, dataFit: 778021.9039318948, spaLap: 48968.30672342618, L21: 188759.05444732975, ardU: 0
    Iter = 125: LogL: 1012509.07286468, dataFit: 774367.1898826811, spaLap: 49540.29253597452, L21: 188601.59044602435, ardU: 0
    Iter = 126: LogL: 1009345.5604050874, dataFit: 770783.8133563253, spaLap: 50115.349612714315, L21: 188446.39743604776, ardU: 0
    Iter = 127: LogL: 1006225.6069295623, dataFit: 767268.9055190433, spaLap: 50663.2463969721, L21: 188293.45501354686, ardU: 0
    Iter = 128: LogL: 1003173.1393525504, dataFit: 763798.9649696075, spaLap: 51231.77904465757, L21: 188142.3953382852, ardU: 0
    Iter = 129: LogL: 1000184.387835936, dataFit: 760383.8928414828, spaLap: 51807.34760573173, L21: 187993.14738872153, ardU: 0
    Iter = 130: LogL: 997252.9414320944, dataFit: 757018.8513839957, spaLap: 52388.566151703424, L21: 187845.52389639517, ardU: 0
    Iter = 131: LogL: 994363.7960066169, dataFit: 753698.4839098377, spaLap: 52966.03583018592, L21: 187699.27626659328, ardU: 0
    Iter = 132: LogL: 991495.7922527773, dataFit: 750411.0500036278, spaLap: 53530.70931631483, L21: 187554.03293283476, ardU: 0
    Iter = 133: LogL: 988654.7644592184, dataFit: 747139.9231560518, spaLap: 54105.57399492908, L21: 187409.26730823747, ardU: 0
    Iter = 134: LogL: 985807.7067182813, dataFit: 743884.5567789252, spaLap: 54658.552806736, L21: 187264.59713262008, ardU: 0
    Iter = 135: LogL: 982964.7851436432, dataFit: 740619.9252834913, spaLap: 55225.56488040788, L21: 187119.29497974398, ardU: 0
    Iter = 136: LogL: 980112.6773244429, dataFit: 737347.9905973353, spaLap: 55791.74012023023, L21: 186972.94660687743, ardU: 0
    Iter = 137: LogL: 977253.1387739499, dataFit: 734058.8473537988, spaLap: 56369.231309081166, L21: 186825.0601110699, ardU: 0
    Iter = 138: LogL: 974382.765443484, dataFit: 730750.4500785085, spaLap: 56957.05999031793, L21: 186675.25537465763, ardU: 0
    Iter = 139: LogL: 971491.8987781103, dataFit: 727419.2893407919, spaLap: 57549.42937907087, L21: 186523.18005824747, ardU: 0
    Iter = 140: LogL: 968533.1988839927, dataFit: 724059.8108968765, spaLap: 58104.9031891477, L21: 186368.48479796847, ardU: 0
    Iter = 141: LogL: 965548.2792449654, dataFit: 720651.9963041972, spaLap: 58685.60979496031, L21: 186210.67314580787, ardU: 0
    Iter = 142: LogL: 962527.618735845, dataFit: 717203.4510402352, spaLap: 59274.58506704186, L21: 186049.58262856788, ardU: 0
    Iter = 143: LogL: 959384.4937565199, dataFit: 713712.1060736125, spaLap: 59787.374403309266, L21: 185885.0132795981, ardU: 0
    Iter = 144: LogL: 956204.1190479997, dataFit: 710146.0424760428, spaLap: 60341.646732317124, L21: 185716.42983963987, ardU: 0
    Iter = 145: LogL: 952971.0000429775, dataFit: 706523.8813434474, spaLap: 60903.225455499334, L21: 185543.89324403074, ardU: 0
    Iter = 146: LogL: 949680.4128003236, dataFit: 702847.0257118003, spaLap: 61466.01704271129, L21: 185367.37004581196, ardU: 0
    Iter = 147: LogL: 946360.8703488086, dataFit: 699115.6091923584, spaLap: 62058.399100546536, L21: 185186.8620559036, ardU: 0
    Iter = 148: LogL: 943010.79809503, dataFit: 695340.7055307255, spaLap: 62667.54739827624, L21: 185002.5451660282, ardU: 0
    Iter = 149: LogL: 939635.8039970251, dataFit: 691526.2147809803, spaLap: 63295.02878701837, L21: 184814.56042902652, ardU: 0
    Iter = 150: LogL: 936248.0105814454, dataFit: 687678.8953197164, spaLap: 63945.995008858095, L21: 184623.12025287087, ardU: 0
    Iter = 151: LogL: 932854.1693906611, dataFit: 683808.6597980364, spaLap: 64616.961533690286, L21: 184428.54805893428, ardU: 0
    Iter = 152: LogL: 929461.5074736184, dataFit: 679923.3884609801, spaLap: 65306.910241057216, L21: 184231.20877158106, ardU: 0
